Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?,Field Annotation
lab_cap_isl_bld_othmeth,hfa_lab_capacity_for_microbiology,,text,Please specify other methods used:,,,,,,,[lab_cap_isl_bld_meth(99)] = '1',,,,,,
lab_cap_isl_bld_medi,hfa_lab_capacity_for_microbiology,,checkbox,What media are used to subculture blood isolates?,"1, MacConkey Agar | 2, Kligler Iron Agar | 3, Blood Agar (TSA + 5% Sheep Blood) | 4, Mannitol Salt Agar | 5, CLED Agar | 6, Chromogenic Agar | 7, Fastidious Anaerobe Agar (FAA) | 8, Enriched Chocolate Agar | 99, Other <i>(specify below)</i>",Select all that apply.,,,,,[lab_cap_isl_bld_meth(1)] = '1',,,,,,
lab_cap_isl_bld_othmedi,hfa_lab_capacity_for_microbiology,,text,Please specify other media used:,,,,,,,[lab_cap_isl_bld_medi(99)] = '1',,,,,,
lab_cap_isl_bld_stan,hfa_lab_capacity_for_microbiology,,checkbox,What stains are conducted on blood isolates?,"1, Gram Stain | 2, Acridine Orange Stain | 99, Other <i>(specify below)</i>",Select all that apply.,,,,,[lab_cap_isl_bld_meth(2)] = '1',,,,,,
lab_cap_isl_bld_othstan,hfa_lab_capacity_for_microbiology,,text,Please specify other stains used:,,,,,,,[lab_cap_isl_bld_stan(99)] = '1',,,,,,
lab_cap_isl_bld_tst,hfa_lab_capacity_for_microbiology,,checkbox,Which of these tests are used for manual biochemical identification of isolates from blood culture?,"1, Motility Test | 2, Catalase Test | 3, Oxidase Test | 4, Oxidative Fermentation (OF) Test | 5, Carbohydrate Fermentation Test (e.g. glucose, fructose, maltose, lactose, sucrose) | 6, IMViC Test - Indole Production Test | 7, IMViC Test - Methyl-Red Test | 8, IMViC Test - Voges-Proskauer Test | 9, IMViC Test - Citrate Utilisation Test | 10, Gelatin Hydrolysis | 11, Starch Hydrolysis | 12, Urease Test | 13, Hydrogen Sulphide Production Test | 14, Nitrate Production Test | 99, Other <i>(specify below)</i>",Select all that apply.,,,,,[lab_cap_isl_bld_meth(3)] = '1',,,,,,
lab_cap_isl_bld_othtst,hfa_lab_capacity_for_microbiology,,text,Please specify other tests used:,,,,,,,[lab_cap_isl_bld_tst(99)] = '1',,,,,,
lab_cap_isl_bld_so,hfa_lab_capacity_for_microbiology,,yesno,Did stockouts occur for the reagents used in any of these methods in the last 4 weeks?,,,,,,,[lab_cap_isl_bld_meth(3)] = '1',,,,,,
lab_cap_isl_bld_com,hfa_lab_capacity_for_microbiology,,notes,Please provide any comments about the stockouts:,,,,,,,[lab_cap_isl_bld_so] = '1',,,,,,
lab_cap_isl_bld_man,hfa_lab_capacity_for_microbiology,,text,What make of commercially available assays/minisystems (e.g. API BioMerieux Test Strip) is used for blood culture?,,,,,,,[lab_cap_isl_bld_meth(4)] = '1',,,,,,
